filename,summary,priority,category
2-Step Verification turned on_28480.txt,From: Google <no-reply@accounts.google.com> Subject: 2-Step Verification turned on [image: Google] 2-Step Verification turned on misrabon55@gmail.com Your Google Account misrabon55@gmail.com is now protected with 2-Step Verification. You can review your 2SV settings <https://accounts.google.com/AccountChooser?Email=misrabon55@gmail.com&continue=https://myaccount.google.com/signinoptions/two-step-verification?rfn%3D16%26rfnc%3D1%26eid%3D9206045019846868041%26et%3D0> to make changes. You can also see security activity at https://myaccount.google.com/notifications You received this email to let you know about important changes to your Google Account and services.,HIGH,OTHER
Confirm Your Email_28472.txt,"From: ""Coursiv"" <no-reply@updates.coursiv.co> Subject: Confirm Your Email Hi! Your Coursiv goal: AI Mastery <https://coursiv.io/en/dynamic/selling-page?utm_gender=m&prc_id=1061&age=18-24&option1=Gain%20financial%20skills&option2=Plan%20a%20vacation&split_c1061_sp_and_content=controlv2&stable_id=960f5af3-ca59-45a3-9e60-321af4873623&email=misrabon55%40gmail.com&source=email&campaign=email_catch&email_id=1&email=misrabon55@gmail.com&uid=23126724> Confirm your email now, and let's start this journey together. Talk soon, Founder, Coursiv <https://www.youtube.com/@Coursiv> <https://www.tiktok.com/@coursiv_io> <https://www.instagram.com/coursiv_io/> You are receiving this from Coursiv as you have expressed your interest in our products and services.",NORMAL,PROMOTION
Credit alert Notification_1500USD__28464.txt,"From: SwiftPay <support@swiftpayfinance.online> Subject: Credit alert Notification[1500USD] [SwiftPay Online](https://swiftpayfinance.online) # Hello Monoarul, Your account have been Credited. Details of the transaction are shown below; Account Number: 88738096088 Account Name: Monoarul Islam Srabon Description: Salary Total Amount:1500USD Date: Thu, Nov 13, 2025 7:47 PM Available Balance:1500USD Thanks, SwiftPay Online © 2025 SwiftPay Online. All rights reserved.",NORMAL,OTHER
email_28469.txt,From: Mono Srabon <srabonmono@gmail.com> Subject: TMxamMfYstkseMY2gFjvgEa1NGbEhexBGT,NORMAL,OTHER
Meet Claude - AI That_s Got People Talking_28471.txt,"From: ""Coursiv"" <no-reply@updates.coursiv.co> Subject: Meet Claude - AI That’s Got People Talking Don't want to get other letters like this? <https://coursiv.io/en/dynamic/selling-page?utm_gender=m&prc_id=1069&age=18-24&option1=Self-Improvement&option2=Smart%20retirement&split_c1069=Control&stable_id=fa8b3437-b746-487b-b734-7904e78ea3ca&source=email&campaign=email_catch&email_id=30&email=misrabon55@gmail.com&uid=23126724> If you need any help <https://support.coursiv.io/en/support/home?utm_source=EM> getting started, you know I’m happy to assist. You received this email as a registered user of Coursiv <> Unsubscribe <https://links.coursiv.co/s/u/zRgWCRigNX-atvMhBFLI8-g5h5X5KMmU7yl768cqHTi-vKFLCaFb8NeId2EprbHpq4SoPkeIcu5afjK8IhdO5G2O8uyKY70mxJBWHI_ZpWDv2lF-9srNA4gRQXzu_0ZpiM0cu9UtwCMPrgfR18CNNYIQ6n8eHr9EZYF37zciIWiKQLJDRf1mAzWpRze2JACk0vEKUWhDFjHSxw/sX04zvAZ_ED5espBFiK48NjEqJ3-eFXs/14>",HIGH,BUSINESS
Security alert_28479.txt,"From: Google <no-reply@accounts.google.com> Subject: Security alert [image: Google] Phone number added for 2-Step Verification misrabon55@gmail.com Codes to sign in to your account now go to a new phone number. Check activity <https://accounts.google.com/AccountChooser?Email=misrabon55@gmail.com&continue=https://myaccount.google.com/alert/nt/1763111558511?rfn%3D249%26rfnc%3D1%26eid%3D3265014491198796214%26et%3D0> You can also see security activity at https://myaccount.google.com/notifications You received this email to let you know about important changes to your Google Account and services. © 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA",HIGH,OTHER
Security alert_28481.txt,"From: Google <no-reply@accounts.google.com> Subject: Security alert [image: Google] App password created to sign in to your account misrabon55@gmail.com If you didn't generate this password for Mail, someone might be using your account. Check activity <https://accounts.google.com/AccountChooser?Email=misrabon55@gmail.com&continue=https://myaccount.google.com/alert/nt/1763111806823?rfn%3D20%26rfnc%3D1%26eid%3D-5636752033673770923%26et%3D0> You can also see security activity at https://myaccount.google.com/notifications You received this email to let you know about important changes to your Google Account and services. © 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA",HIGH,OTHER
Security alert_28482.txt,"From: Google <no-reply@accounts.google.com> Subject: Security alert [image: Google] App password used to sign in was removed misrabon55@gmail.com If you didn't remove this password, someone might be using your account. Check activity <https://accounts.google.com/AccountChooser?Email=misrabon55@gmail.com&continue=https://myaccount.google.com/alert/nt/1763112247751?rfn%3D269%26rfnc%3D1%26eid%3D2069430409703943337%26et%3D0> You can also see security activity at https://myaccount.google.com/notifications You received this email to let you know about important changes to your Google Account and services. © 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA",HIGH,OTHER
Security alert_28483.txt,"From: Google <no-reply@accounts.google.com> Subject: Security alert [image: Google] App password created to sign in to your account misrabon55@gmail.com If you didn't generate this password for Mail, someone might be using your account. Check activity <https://accounts.google.com/AccountChooser?Email=misrabon55@gmail.com&continue=https://myaccount.google.com/alert/nt/1763112254564?rfn%3D20%26rfnc%3D1%26eid%3D8685479663872605826%26et%3D0> You can also see security activity at https://myaccount.google.com/notifications You received this email to let you know about important changes to your Google Account and services. © 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA",HIGH,OTHER
Successful Transfer Request_28465.txt,"From: SwiftPay <support@swiftpayfinance.online> Subject: Successful Transfer Request [SwiftPay Online](https://swiftpayfinance.online) # Hello Monoarul Your transfer request of $500 to Hosneara, Agrani Bank PLC has been confirmed and beneficiary is expected to be credited within an hour Details of the transaction are shown below; Account Number: 0200000993997 Account Name:Hosneara Description: Total Amount: $500 Date: Thu, Nov 13, 2025 7:03 PM Available Balance: $1000 Thanks, SwiftPay Online © 2025 SwiftPay Online. All rights reserved.",NORMAL,OTHER
